疫情风险等级,省份,城市,日期,新增病例,累计确诊,累计死亡,累计治愈,现有确诊
全部低风险,辽宁,沈阳,2022/3/15,6,101,0,80,21
部分中高风险,吉林,吉林,2022/3/15,2802,4330,1,49,4280
全部低风险,辽宁,营口,2022/3/15,8,24,0,11,13
全部低风险,浙江,嘉兴,2022/3/15,16,65,0,46,19
全部低风险,陕西,铜川,2022/3/15,2,10,0,8,2
全部低风险,北京,西城,2022/3/15,1,67,0,6,61
部分中风险,上海,徐汇,2022/3/15,3,38,1,17,20
全部低风险,重庆,高新区,2022/3/15,7,25,0,4,21
全部低风险,天津,红桥区,2022/3/15,3,17,0,7,10
全部低风险,上海,黄浦,2022/3/15,2,27,0,22,5
部分中风险,上海,浦东,2022/3/15,1,93,1,81,11
全部低风险,上海,虹口,2022/3/15,1,11,0,7,4
全部低风险,陕西,咸阳,2022/3/15,1,32,0,31,1
部分中风险,天津,津南区,2022/3/15,2,360,0,344,16
部分中风险,吉林,延边,2022/3/15,11,85,0,6,79
部分中高风险,甘肃,兰州,2022/3/15,6,243,2,119,122
全部低风险,福建,泉州,2022/3/15,31,112,0,71,41
全部低风险,山东,日照,2022/3/15,2,35,0,30,5
全部低风险,江苏,常州,2022/3/15,15,72,0,54,18
部分中高风险,山东,德州,2022/3/15,7,86,2,35,49
全部低风险,浙江,金华,2022/3/15,1,58,0,57,1
部分中风险,江苏,苏州,2022/3/15,2,207,0,197,10
部分中风险,云南,德宏州,2022/3/15,3,342,0,294,48
部分中高风险,天津,河西区,2022/3/15,4,26,0,10,16
全部低风险,山东,潍坊,2022/3/15,7,52,0,44,8
部分中高风险,广东,东莞,2022/3/15,9,325,1,127,197
部分中风险,上海,松江,2022/3/15,1,20,0,16,4
全部低风险,重庆,渝北区,2022/3/15,1,18,0,17,1
全部低风险,天津,宝坻区,2022/3/15,2,62,2,58,2
全部低风险,天津,武清区,2022/3/15,26,53,0,2,51
部分高风险,天津,滨海新区,2022/3/15,7,48,0,22,26
部分中风险,云南,红河,2022/3/15,1,28,0,9,19
全部低风险,天津,南开区,2022/3/15,4,21,0,7,14
部分中高风险,山东,威海,2022/3/15,10,74,1,37,36
全部低风险,吉林,四平,2022/3/15,5,30,1,16,13
全部低风险,河南,商丘,2022/3/15,1,110,3,106,1
全部低风险,陕西,汉中,2022/3/15,4,41,0,26,15
全部低风险,浙江,衢州,2022/3/15,14,38,0,14,24
全部低风险,河北,邯郸,2022/3/15,4,38,0,32,6
全部低风险,河北,廊坊,2022/3/15,5,110,0,39,71
全部低风险,湖南,长沙,2022/3/15,1,248,2,245,1
部分中高风险,山东,青岛,2022/3/15,48,873,1,79,793
部分中高风险,陕西,宝鸡,2022/3/15,40,162,0,13,149
全部低风险,重庆,巴南区,2022/3/15,1,8,0,7,1
全部低风险,辽宁,大连,2022/3/15,9,479,0,470,9
全部低风险,黑龙江,哈尔滨,2022/3/15,7,581,4,547,30
全部低风险,北京,东城,2022/3/15,2,21,0,6,15
部分中高风险,甘肃,白银,2022/3/15,1,21,0,4,17
全部低风险,广西,钦州,2022/3/15,4,15,0,8,7
部分中风险,广东,深圳,2022/3/15,39,982,3,428,551
部分中高风险,吉林,长春,2022/3/15,575,2122,0,150,1972
全部低风险,山东,淄博,2022/3/15,12,62,1,29,32
全部低风险,河北,沧州,2022/3/15,4,103,3,46,54
全部低风险,上海,闵行,2022/3/15,1,34,0,19,15
全部低风险,山东,烟台,2022/3/15,1,65,0,58,7
全部低风险,福建,厦门,2022/3/15,2,280,0,277,3
部分中风险,江苏,连云港,2022/3/15,3,183,0,51,132
全部低风险,贵州,遵义,2022/3/15,2,48,0,44,4
全部低风险,北京,朝阳,2022/3/15,2,117,0,9,108
部分中风险,陕西,西安,2022/3/15,6,2265,3,2185,77
全部低风险,北京,海淀,2022/3/15,1,107,0,26,81
全部低风险,山东,滨州,2022/3/15,19,39,0,15,24
部分中高风险,天津,西青区,2022/3/15,3,81,0,18,63
全部低风险,浙江,杭州,2022/3/13,0,382,0,215,167
全部低风险,内蒙古,呼伦贝尔,2022/3/13,0,611,0,603,8
全部低风险,吉林,松原,2022/3/13,0,8,0,6,2
部分中风险,上海,嘉定,2022/3/13,0,19,2,7,10
全部低风险,上海,长宁,2022/3/13,0,16,0,14,2
全部低风险,北京,顺义,2022/3/13,0,48,0,45,3
全部低风险,北京,门头沟,2022/3/12,0,6,0,4,2
全部低风险,河南,濮阳,2022/3/12,0,22,0,17,5
全部低风险,浙江,湖州,2022/3/12,0,13,0,10,3
全部低风险,湖南,湘潭,2022/3/12,0,39,0,38,1
全部低风险,广东,广州,2022/3/12,0,532,1,525,6
部分中高风险,内蒙古,呼和浩特,2022/3/12,0,437,0,415,22
部分中风险,河北,邢台,2022/3/12,0,136,1,95,40
全部低风险,河北,保定,2022/3/11,0,48,0,38,10
全部低风险,青海,西宁,2022/3/11,0,28,0,26,2
全部低风险,上海,青浦,2022/3/11,0,9,0,7,2
全部低风险,北京,大兴,2022/3/11,0,148,0,111,37
全部低风险,云南,昆明,2022/3/11,0,65,0,58,7
全部低风险,河北,石家庄,2022/3/10,0,977,1,962,14
全部低风险,天津,北辰区,2022/3/10,0,13,0,7,6
全部低风险,江苏,南京,2022/3/10,0,333,0,331,2
全部低风险,内蒙古,阿拉善盟,2022/3/10,0,167,0,165,2
部分中风险,上海,静安,2022/3/10,0,28,1,18,9
全部低风险,山西,运城,2022/3/9,0,25,0,20,5
全部低风险,广东,阳江,2022/3/9,0,15,0,14,1
全部低风险,天津,东丽区,2022/3/8,0,20,0,5,15
部分中风险,湖北,武汉,2022/3/7,0,50419,3869,46524,26
全部低风险,甘肃,酒泉,2022/3/7,0,1,0,0,1
部分中风险,上海,普陀,2022/3/7,0,16,0,11,5
部分中风险,广西,防城港,2022/3/7,0,90,0,42,48
部分中风险,内蒙古,包头,2022/3/7,0,36,0,26,10
全部低风险,广西,百色,2022/3/6,0,279,0,264,15
全部低风险,内蒙古,鄂尔多斯,2022/3/6,0,15,0,12,3
全部低风险,山西,晋中,2022/3/6,0,56,0,44,12
全部低风险,广东,惠州,2022/3/5,0,70,0,62,8
全部低风险,云南,保山市,2022/3/4,0,11,0,9,2
全部低风险,浙江,温州,2022/3/4,0,507,1,503,3
部分中风险,四川,成都,2022/3/3,0,227,3,188,36
部分中风险,黑龙江,牡丹江,2022/3/2,0,73,0,65,8
全部低风险,辽宁,葫芦岛,2022/3/2,0,216,1,73,142
全部低风险,海南,三亚,2022/3/1,0,58,1,54,3
部分中风险,云南,临沧,2022/3/1,0,12,0,1,11
部分中风险,广东,中山,2022/3/1,0,73,0,69,4
全部低风险,山西,太原,2022/2/28,0,26,0,21,5
全部低风险,广东,珠海,2022/2/26,0,137,1,98,38
全部低风险,北京,通州,2022/2/24,0,24,9,3,12
全部低风险,北京,丰台,2022/2/22,0,349,0,237,112
全部低风险,江苏,无锡,2022/2/21,0,58,0,55,3
全部低风险,浙江,绍兴,2022/2/19,0,430,0,429,1
全部低风险,云南,文山州,2022/2/14,0,5,0,3,2
全部低风险,广东,云浮,2022/2/3,0,7,0,0,7
全部低风险,天津,河东区,2022/2/3,0,20,1,18,1
全部低风险,上海,奉贤,2022/1/27,0,12,0,11,1
全部低风险,云南,西双版纳州,2022/1/24,0,20,1,14,5
全部低风险,北京,房山,2022/1/23,0,31,0,12,19
全部低风险,河南,郑州,2022/1/20,0,489,5,483,1
全部低风险,广西,崇左,2022/1/17,0,2,0,1,1
部分中风险,黑龙江,黑河,2021/11/16,0,296,0,295,1
全部低风险,北京,昌平,2021/11/8,0,70,0,50,20
全部低风险,广西,南宁,2021/1/15,0,57,0,56,1
全部低风险,北京,怀柔,2021/1/1,0,8,0,4,4
全部低风险,江苏,徐州,2020/2/17,0,80,0,79,1
全部低风险,江苏,南通,2020/2/15,0,41,0,40,1
全部低风险,四川,眉山,2020/2/12,0,9,0,8,1
